transmit_tx,transmit_block,sprayed_in_block,sprayed_in_block_count,exec_b0_count,exec_b1_count,exec_b2_count,has_gatepass_within_2blocks,gatepass_block,gatepass_tx,gatepass_fee_eth,total_exec_b0_b2
0x565e8a20b5c6f3dfa3a4c6ede5632e42915421e09d035e87ca0658bfcdc7ae05,38891291,1,1,1,0,1,1,38891293,0x85bc51a0cd1b9db0e6e70f1396904613b657b119aa757720d5be4c13301a16d3,0.000001264439617281,2
0x3a53df14f36e041c9bd4a06685c3ca5856e4b0ac7db0a43e67844edfee398cfb,38891420,1,1,1,0,1,0,,,,2
0xd3a007a32602957521c9168b41af9b749948ac84aa943b09e9a0c59c4917326d,38891585,1,1,1,0,0,1,38891585,0x1cd443e8307b6e020253c819d0bac5b0b6e693ce1f78924e0a5ff4329a5623d2,0.000001250755888842,1
0x132a512cc337b8c7a48c22ff6200a5d26fc631174adba9d0aaee46291a1fd08a,38891750,1,1,1,0,0,1,38891750,0x9efed09b19ee0bd113f3ef9f24b9b0b4156b0d263d7f7c6ccb9e3103ea31ccfa,0.000001257722667845,1
0xb63f0bc85f1cd34088d775fce019338079693024eabae014e5c729defa53f6ab,38891975,0,0,0,1,0,0,,,,1
0xd58bc0a865a41f1ce2e9394e5744f438024eb8f4a5493f00c07f0018db39495c,38892020,0,0,0,1,0,1,38892021,0xc391fea3545791a2c45897a1ee2c92e7edec309f839c1040ff875cf8f45472d3,0.000001341975398032,1
0xb19e48357ed0b251874992c000f0dc0f19f50997d7bd2ed9a2c0a287f61772ec,38892290,0,0,0,1,0,0,,,,1
0x68d898406ee757e7de8360b0dfb45b222f21cd727649fa33222e65fed5a89832,38892576,0,0,0,0,1,0,,,,1
0xad069a12efa1b26a4a55abc1bfbf47024ddd9c80f64b06c956c6940594d5758e,38892696,0,0,0,1,0,0,,,,1
0xd6d450c2b729bdbbe56addd577f1218aac04b9efbc99f4d8f47390a08864e7a3,38892741,0,0,0,0,1,1,38892743,0x63e19b82f7916b495cf33507dbf24f0195ff239f23bf3b75595c6c37b4bb0ae0,0.00000150762607324,1
0x5b3a227d935ea5b92d5380a3958b53685fc29e04c3bd60b544515ac923d66aa7,38892786,1,1,1,0,0,0,,,,1
0x379fd50bea9809341b2c93c70753efbca05f1de58a250596fab78856359489b7,38892921,1,1,1,0,1,0,,,,2
0x01e38805caf09b6035b41158102935b41518a8f8c2d3567701a7858aeb38944c,38893461,0,0,0,0,1,1,38893463,0x600e81b0803e5cf5b06b456f9b28ddf685f5887935554b07560fc819b40a9136,0.000001271770770341,1
0x2a5d4ab35b358412877fedddc0a9e6a1f0be3c66a6c73a6f552f06181da2cd1c,38893551,0,0,0,0,0,0,,,,0
0x346af386eb58c2c4970b8a16321430512a459a323bb53c5f455e2e9edcb12d2f,38893686,1,1,1,0,0,1,38893686,0x98cec96e829f33be1a098c6e91b5baec7dcbf45d8cdf24853614faa6f73c680a,0.000001267299759192,1
0x928977eb3b951c44e4567f530cce8f8678aac18ce5a68bba1fda1dd3328036a6,38893867,1,1,1,0,1,0,,,,2
0x707194040db8e0976413fd8437c05e748001c5d14d7c393f7db2dc5f6da9176b,38894422,1,1,1,0,1,0,,,,2
0x0742ed66a60a3a03e4f372aa765228d15d8d5162d7c4f9ec6dc380c1fa15fbe1,38894662,0,0,0,1,0,0,,,,1
0x4fbeb9a52959f33388524a8903df45e7cbb00efcd16eeea8238ac81f6d7ed87b,38895114,0,0,0,1,0,0,,,,1
0x09168a70a89612a4a42238a72c0a9356d780eff4a077b8e3e8f3d4e7ff0cfaa7,38895338,0,0,0,1,0,1,38895339,0xa9f405f3aa83af7d890c6767a1007712d8657800d1d7040c751b2a66cdb0ed50,0.000001393110964978,1
0x573751d1ac19e316689bc7eba67772c521b0a5ce38ed7f1970b7c4f7d6549a36,38895443,1,1,1,0,1,1,38895445,0x677d22f6b65ba59018a7d10cb2aa17a6a602e0032a6a6f657fb839106a79fb68,0.000001369255689682,2
0xd8454f4da4f5eac0a9235014a4aa1a0cfac0d8aed6ae6de3bc62010c9b435062,38895803,1,1,1,0,1,0,,,,2
0x4801ccfc3e5b1c17803fc7b63cc81a6d763cec03655d93387665bb6ab9dbbccf,38895893,1,1,1,0,1,1,38895895,0xa0b1349e67a1706ebd8ab40fa441867eff6b46b8f06e383aab1ab94ac44ea893,0.000001275358398789,2
0x2cdd03a3acad806ec2f93602e8b90c4cd98659c26701b969bd78fe82a55f34c0,38895938,0,0,0,1,0,1,38895939,0xae475a15f720a1505e03789513845556c6f669d13f481c047869fd87eb8c9be4,0.00000126984076366,1
0x7a752d5b3abbfadbf652abf93eadd87c0e11cef71069cffb67c51a4a6015465c,38896148,0,0,0,0,1,0,,,,1
0xb00e5af72f2f66eb3b31ef37aaeec6bef027c9bb070b828613d838c321c31dd0,38896403,1,1,1,0,0,0,,,,1
0x59dcc76e3f785ef6bfcd6921d8464d25f7e9c3185822087773484654edc36993,38896493,1,1,1,0,1,0,,,,2
0x9721587962d123cfcca5f9e2bc6c8c9bd53098766115d40744cafe89351f7de2,38896554,0,0,0,1,0,1,38896555,0xb2fa240b616aeed5337f641e880d3ea9df4abd178e1db3cbfd3baa5aac4250b9,0.000001256400603319,1
0xf3ceee1eac731aafb65e52bbcd39a134feea0c40dcd98b26b84ed8486eaf83b8,38897169,0,0,0,1,0,0,,,,1
0x24157999fca5adb5cb1dec35c13d36cfe590d21a3a0970ed5feb760f55f5ae90,38897379,0,0,0,0,1,1,38897381,0xa0b4a5a586e1cad6f05bdb579009dff53335c781351f9f8952606dd6c0669d4c,0.000001242891234411,1
0x1a0be9face7a04628b757d012819924d9d193f4e1069ba74380a776cffca38d7,38897484,0,0,0,1,0,1,38897485,0xf2c3964a49ff253a040522af5b99f284dc1f71ab0ff9406ec632527054b16a9e,0.00000124348616605,1
0xce00d2101ce3b9afacecf0ec459bebc2ad39283325c8ef71c85be49d193b1ac6,38898100,1,1,1,0,0,0,,,,1
0xefaf6b5add46556739cd7a2e130b29749997365fe2925b00bb58f628fb0e9b75,38898715,0,0,0,1,0,0,,,,1
0x7c8d38fb512565066e094f3d74649fdf9fe1546a650b244675ba1f4229a5c5d0,38898895,1,1,1,0,1,1,38898895,0xe15aecdadea8d7c3b60905c767dee386b42e57e4641f47f9e0540ac0344da40f,0.000001251250047912,2
0x53515fdeb74ba013b081a2ab74155ba1d683addff98823bba560d4a762c72904,38899450,0,0,0,1,0,1,38899451,0x0c11c1d89f93b4acbfe7937a1e9c19f01f43f248c87a9afbccfb441cf2619a26,0.000001252657170105,1
0x1544e1aaeb1da77c99d8d13f839ed3be118cc5399c6f549493fbfbf7a0951abd,38900006,1,1,1,0,1,1,38900008,0x85592b211214dfa64c6f45d86e509d66ae5a3e729cd17ddefcea68f7f5be755f,0.000001256764850111,2
0x6d2bb9560eb9029e2484e9ba0785acbfa27ce97a48600d26376e41d4eb46499a,38900501,1,1,1,0,0,1,38900501,0x42a404158be931bea96d73635b607af200006b7c07e6aa2eb74936e615ed7486,0.000001255145431214,1
0x7e80b14f1da66028eeb472eb34c17ff69fc0217ce74ea027a1ef41b8b5dba723,38900696,0,0,0,1,0,1,38900697,0xfc1bd0cf248549c2197b8f82ef3eae43a64627a67222f7c29b2971d40525a9d1,0.000001298242885813,1
0xcfa0879f8f29b3abb89464e7b9272e9332aa5ba6fa7622e56d358ec942a123ab,38900726,1,1,1,0,0,0,,,,1
0x0c6cc23aa0a0da0f65edfc384ee0376d7538c9238b49581b20a783a08f8633b2,38900906,1,1,1,0,1,1,38900908,0xdebe1b69b9e3d2464defdee1e2400012958f5cbd475883e4aadad93b14c6b8e4,0.000001330059774907,2
0xf65daa0621fae8a44b3d4d580610897e24410761a4165440a24a9d47275e9334,38901191,1,1,1,0,0,0,,,,1
0x72a98acb07369ac8a2101423b73341a388281b53dd435971c16f803f8e25d355,38901357,1,1,1,0,1,1,38901359,0xa3b54cc5e525219943906adc4b0b813a42e63799479b85f2f04900b540915820,0.000001268602256971,2
0xf84661bbc17938d9239bdad0bfc2b483df24836763d6da9c90f1819d65dd1754,38901491,1,1,1,0,1,1,38901493,0x199f37cb070171691c56910b4ad614f67e54c61ecf5e02e888affb54e5c4acdf,0.000001264895015576,2
